"V1","V2","V3","V4","V5","V6","V7","V8"
TRUE,NA,NA,NA,NA,NA,TRUE,NA
NA,NA,TRUE,NA,TRUE,NA,TRUE,NA
NA,NA,NA,NA,TRUE,NA,TRUE,NA
TRUE,NA,NA,NA,NA,NA,TRUE,NA
TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA
TRUE,NA,TRUE,NA,NA,NA,NA,NA
NA,TRUE,NA,NA,NA,TRUE,NA,NA
NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE
NA,NA,NA,NA,NA,TRUE,NA,TRUE
NA,NA,NA,NA,NA,NA,NA,NA
TRUE,TRUE,NA,NA,NA,NA,NA,TRUE
NA,NA,TRUE,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,TRUE,NA,TRUE
TRUE,NA,TRUE,TRUE,NA,NA,NA,NA
NA,NA,TRUE,NA,NA,NA,TRUE,NA
TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE
